geo_id,heat_length_of_distribution_pipelines_in_meter_per_residence_object_first_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_second_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_third_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_fourth_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_fifth_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_first_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_second_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_third_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_fourth_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_fifth_bracket,heat_share_of_apartments_with_block_heating
BU05560702,29.5,29.5,29.5,29.5,29.5,15.9,15.9,15.9,15.9,15.9,0.15
BU05560801,15.6,15.6,15.6,15.6,15.6,10.2,10.2,10.2,10.2,10.2,0.15
BU05690001,16.4,16.4,16.4,16.4,16.4,16.7,16.7,16.7,16.7,16.7,0.15
BU05690004,27.2,27.2,27.2,27.2,27.2,24,24,24,24,24,0.15
BU05690006,21.9,21.9,21.9,21.9,21.9,15.2,15.2,15.2,15.2,15.2,0.15
BU05690009,11.1,11.1,11.1,11.1,11.1,17.8,17.8,17.8,17.8,17.8,0.15
BU05690104,24.7,24.7,24.7,24.7,24.7,24.6,24.6,24.6,24.6,24.6,0.15
BU05690108,19.5,19.5,19.5,19.5,19.5,18.1,18.1,18.1,18.1,18.1,0.15
BU05690109,27.3,27.3,27.3,27.3,27.3,26.9,26.9,26.9,26.9,26.9,0.15
BU05690203,33.8,33.8,33.8,33.8,33.8,20.2,20.2,20.2,20.2,20.2,0.15
BU05690209,32.3,32.3,32.3,32.3,32.3,22.4,22.4,22.4,22.4,22.4,0.15
BU05840001,38,38,38,38,38,15,15,15,15,15,0.15
BU05840002,7.3,7.3,7.3,7.3,7.3,11.4,11.4,11.4,11.4,11.4,0.15
BU05840003,7.5,7.5,7.5,7.5,7.5,2.6,2.6,2.6,2.6,2.6,0.15
BU05840004,8.3,8.3,8.3,8.3,8.3,7.1,7.1,7.1,7.1,7.1,0.15
BU05840005,7.3,7.3,7.3,7.3,7.3,6,6,6,6,6,0.15
BU05840006,7.8,7.8,7.8,7.8,7.8,9.1,9.1,9.1,9.1,9.1,0.15
BU05840007,8.5,8.5,8.5,8.5,8.5,9.5,9.5,9.5,9.5,9.5,0.15
BU05840008,7.5,7.5,7.5,7.5,7.5,7.9,7.9,7.9,7.9,7.9,0.15
BU05840009,8.4,8.4,8.4,8.4,8.4,8.5,8.5,8.5,8.5,8.5,0.15
BU05840010,36.5,36.5,36.5,36.5,36.5,13,13,13,13,13,0.15
BU05840011,9.8,9.8,9.8,9.8,9.8,7,7,7,7,7,0.15
BU05840012,23.4,23.4,23.4,23.4,23.4,10.6,10.6,10.6,10.6,10.6,0.15
BU05840013,37,37,37,37,37,21.9,21.9,21.9,21.9,21.9,0.15
BU05850000,16.1,16.1,16.1,16.1,16.1,9.3,9.3,9.3,9.3,9.3,0.15
BU05850001,15.5,15.5,15.5,15.5,15.5,8.1,8.1,8.1,8.1,8.1,0.15
BU05850002,21.3,21.3,21.3,21.3,21.3,9.9,9.9,9.9,9.9,9.9,0.15
BU05850003,8.3,8.3,8.3,8.3,8.3,9.4,9.4,9.4,9.4,9.4,0.15
BU05850009,24.1,24.1,24.1,24.1,24.1,14.4,14.4,14.4,14.4,14.4,0.15
BU05850100,10.9,10.9,10.9,10.9,10.9,9.9,9.9,9.9,9.9,9.9,0.15
BU05850101,31.3,31.3,31.3,31.3,31.3,10.8,10.8,10.8,10.8,10.8,0.15
BU05850102,27.5,27.5,27.5,27.5,27.5,11.8,11.8,11.8,11.8,11.8,0.15
BU05850103,38.2,38.2,38.2,38.2,38.2,12,12,12,12,12,0.15
BU05850104,9.2,9.2,9.2,9.2,9.2,9.5,9.5,9.5,9.5,9.5,0.15
BU05850108,27.9,27.9,27.9,27.9,27.9,20.1,20.1,20.1,20.1,20.1,0.15
BU05850109,27.8,27.8,27.8,27.8,27.8,18.6,18.6,18.6,18.6,18.6,0.15
BU05850200,10.8,10.8,10.8,10.8,10.8,9.4,9.4,9.4,9.4,9.4,0.15
BU05850201,30.2,30.2,30.2,30.2,30.2,18.7,18.7,18.7,18.7,18.7,0.15
BU05850202,20.8,20.8,20.8,20.8,20.8,10.4,10.4,10.4,10.4,10.4,0.15
BU05850208,15.1,15.1,15.1,15.1,15.1,24.8,24.8,24.8,24.8,24.8,0.15
BU05850209,20.1,20.1,20.1,20.1,20.1,14.9,14.9,14.9,14.9,14.9,0.15
BU05850300,14.4,14.4,14.4,14.4,14.4,8.8,8.8,8.8,8.8,8.8,0.15
BU05850301,54.4,54.4,54.4,54.4,54.4,8.1,8.1,8.1,8.1,8.1,0.15
BU05850302,26.1,26.1,26.1,26.1,26.1,10,10,10,10,10,0.15
BU05850303,11.6,11.6,11.6,11.6,11.6,8.5,8.5,8.5,8.5,8.5,0.15
BU05850304,24.7,24.7,24.7,24.7,24.7,12,12,12,12,12,0.15
BU05850307,5.4,5.4,5.4,5.4,5.4,3.6,3.6,3.6,3.6,3.6,0.15
BU05850309,20.9,20.9,20.9,20.9,20.9,8.8,8.8,8.8,8.8,8.8,0.15
BU05850400,16.5,16.5,16.5,16.5,16.5,7.8,7.8,7.8,7.8,7.8,0.15
BU05850401,35,35,35,35,35,7,7,7,7,7,0.15
BU05850402,9.2,9.2,9.2,9.2,9.2,6.7,6.7,6.7,6.7,6.7,0.15
BU05850403,9.7,9.7,9.7,9.7,9.7,10.5,10.5,10.5,10.5,10.5,0.15
BU05850405,7.9,7.9,7.9,7.9,7.9,7.1,7.1,7.1,7.1,7.1,0.15
BU05850406,3.1,3.1,3.1,3.1,3.1,4.1,4.1,4.1,4.1,4.1,0.15
BU05850408,53.4,53.4,53.4,53.4,53.4,21,21,21,21,21,0.15
BU05850409,35.9,35.9,35.9,35.9,35.9,12.9,12.9,12.9,12.9,12.9,0.15
BU05850500,9.5,9.5,9.5,9.5,9.5,6.8,6.8,6.8,6.8,6.8,0.15
BU05850501,26.3,26.3,26.3,26.3,26.3,18.3,18.3,18.3,18.3,18.3,0.15
BU05850502,6.3,6.3,6.3,6.3,6.3,7.1,7.1,7.1,7.1,7.1,0.15
BU05850503,13.5,13.5,13.5,13.5,13.5,11.4,11.4,11.4,11.4,11.4,0.15
BU05850504,32.6,32.6,32.6,32.6,32.6,16,16,16,16,16,0.15
BU05850505,27.5,27.5,27.5,27.5,27.5,23.2,23.2,23.2,23.2,23.2,0.15
BU05850506,8.3,8.3,8.3,8.3,8.3,6.2,6.2,6.2,6.2,6.2,0.15
BU05850509,24.2,24.2,24.2,24.2,24.2,17.4,17.4,17.4,17.4,17.4,0.15
BU05880000,10.1,10.1,10.1,10.1,10.1,10.2,10.2,10.2,10.2,10.2,0.15
BU05880001,29.5,29.5,29.5,29.5,29.5,14.3,14.3,14.3,14.3,14.3,0.15
BU05880009,30.6,30.6,30.6,30.6,30.6,19.8,19.8,19.8,19.8,19.8,0.15
BU05880100,11.5,11.5,11.5,11.5,11.5,8.7,8.7,8.7,8.7,8.7,0.15
BU05880103,36.3,36.3,36.3,36.3,36.3,7,7,7,7,7,0.15
BU05880109,26.2,26.2,26.2,26.2,26.2,17.9,17.9,17.9,17.9,17.9,0.15
BU05880200,11.5,11.5,11.5,11.5,11.5,9.8,9.8,9.8,9.8,9.8,0.15
BU05880201,21.7,21.7,21.7,21.7,21.7,11.6,11.6,11.6,11.6,11.6,0.15
BU05880202,30,30,30,30,30,14.2,14.2,14.2,14.2,14.2,0.15
BU05880208,0,0,0,0,0,34.8,34.8,34.8,34.8,34.8,0.15
BU05880209,12.1,12.1,12.1,12.1,12.1,16.2,16.2,16.2,16.2,16.2,0.15
BU05880300,12.7,12.7,12.7,12.7,12.7,10.1,10.1,10.1,10.1,10.1,0.15
BU05880301,44,44,44,44,44,12.6,12.6,12.6,12.6,12.6,0.15
BU05880302,28.8,28.8,28.8,28.8,28.8,15.4,15.4,15.4,15.4,15.4,0.15
BU05880303,30.3,30.3,30.3,30.3,30.3,6.5,6.5,6.5,6.5,6.5,0.15
BU05880304,12.5,12.5,12.5,12.5,12.5,9.4,9.4,9.4,9.4,9.4,0.15
BU05880308,29,29,29,29,29,14.3,14.3,14.3,14.3,14.3,0.15
BU05880309,15.5,15.5,15.5,15.5,15.5,17.6,17.6,17.6,17.6,17.6,0.15
BU05890101,11.6,11.6,11.6,11.6,11.6,7.3,7.3,7.3,7.3,7.3,0.15
BU05890102,28.7,28.7,28.7,28.7,28.7,28,28,28,28,28,0.15
BU05890201,8.4,8.4,8.4,8.4,8.4,5.3,5.3,5.3,5.3,5.3,0.15
BU05890202,8.4,8.4,8.4,8.4,8.4,9.3,9.3,9.3,9.3,9.3,0.15
BU05890203,5.9,5.9,5.9,5.9,5.9,8.3,8.3,8.3,8.3,8.3,0.15
BU05890204,8.6,8.6,8.6,8.6,8.6,7.7,7.7,7.7,7.7,7.7,0.15
BU05890205,9.9,9.9,9.9,9.9,9.9,7.3,7.3,7.3,7.3,7.3,0.15
BU05890206,32.1,32.1,32.1,32.1,32.1,16.1,16.1,16.1,16.1,16.1,0.15
BU05890207,37.7,37.7,37.7,37.7,37.7,19.5,19.5,19.5,19.5,19.5,0.15
BU05890208,23.5,23.5,23.5,23.5,23.5,12.9,12.9,12.9,12.9,12.9,0.15
BU05890209,35.3,35.3,35.3,35.3,35.3,25.1,25.1,25.1,25.1,25.1,0.15
BU05890210,34.7,34.7,34.7,34.7,34.7,17.2,17.2,17.2,17.2,17.2,0.15
BU05890211,25.3,25.3,25.3,25.3,25.3,36.9,36.9,36.9,36.9,36.9,0.15
BU05890212,14.2,14.2,14.2,14.2,14.2,29.6,29.6,29.6,29.6,29.6,0.15
BU05890213,41.6,41.6,41.6,41.6,41.6,32.9,32.9,32.9,32.9,32.9,0.15
BU05890301,10.2,10.2,10.2,10.2,10.2,20.9,20.9,20.9,20.9,20.9,0.15
BU05890302,29,29,29,29,29,33,33,33,33,33,0.15
BU05890401,27.8,27.8,27.8,27.8,27.8,24.2,24.2,24.2,24.2,24.2,0.15
BU05900001,6,6,6,6,6,6.1,6.1,6.1,6.1,6.1,0.15
BU05900002,7.3,7.3,7.3,7.3,7.3,9.8,9.8,9.8,9.8,9.8,0.15
BU05900003,5.1,5.1,5.1,5.1,5.1,5.5,5.5,5.5,5.5,5.5,0.15
BU05900004,7.2,7.2,7.2,7.2,7.2,8.7,8.7,8.7,8.7,8.7,0.15
BU05900005,6.9,6.9,6.9,6.9,6.9,8.1,8.1,8.1,8.1,8.1,0.15
BU05900006,9.9,9.9,9.9,9.9,9.9,8.8,8.8,8.8,8.8,8.8,0.15
BU05900007,11,11,11,11,11,7.6,7.6,7.6,7.6,7.6,0.15
BU05900008,46.2,46.2,46.2,46.2,46.2,27.6,27.6,27.6,27.6,27.6,0.15
BU05970100,6.1,6.1,6.1,6.1,6.1,4,4,4,4,4,0.15
BU05970200,4.9,4.9,4.9,4.9,4.9,4.5,4.5,4.5,4.5,4.5,0.15
BU05970300,5.4,5.4,5.4,5.4,5.4,5.9,5.9,5.9,5.9,5.9,0.15
BU05970400,7.4,7.4,7.4,7.4,7.4,6.9,6.9,6.9,6.9,6.9,0.15
BU05970500,7.1,7.1,7.1,7.1,7.1,7.2,7.2,7.2,7.2,7.2,0.15
BU05970600,7.1,7.1,7.1,7.1,7.1,6.6,6.6,6.6,6.6,6.6,0.15
BU05970700,5.7,5.7,5.7,5.7,5.7,4.8,4.8,4.8,4.8,4.8,0.15
BU05970800,16.1,16.1,16.1,16.1,16.1,10.3,10.3,10.3,10.3,10.3,0.15
BU05970900,17.9,17.9,17.9,17.9,17.9,10.7,10.7,10.7,10.7,10.7,0.15
BU05971000,13.9,13.9,13.9,13.9,13.9,9.3,9.3,9.3,9.3,9.3,0.15
BU05971100,33,33,33,33,33,15.4,15.4,15.4,15.4,15.4,0.15
BU05971200,7.9,7.9,7.9,7.9,7.9,18.9,18.9,18.9,18.9,18.9,0.15
BU05990110,2.2,2.2,2.2,2.2,2.2,0.4,0.4,0.4,0.4,0.4,0.15
BU05990111,2.6,2.6,2.6,2.6,2.6,1.6,1.6,1.6,1.6,1.6,0.15
BU05990112,3.1,3.1,3.1,3.1,3.1,1.1,1.1,1.1,1.1,1.1,0.15
BU05990113,1.8,1.8,1.8,1.8,1.8,0.1,0.1,0.1,0.1,0.1,0.15
BU05990118,4.7,4.7,4.7,4.7,4.7,1.5,1.5,1.5,1.5,1.5,0.15
BU05990119,3.6,3.6,3.6,3.6,3.6,0.3,0.3,0.3,0.3,0.3,0.15
BU05990320,2.3,2.3,2.3,2.3,2.3,1.6,1.6,1.6,1.6,1.6,0.15
BU05990321,2.4,2.4,2.4,2.4,2.4,2.2,2.2,2.2,2.2,2.2,0.15
BU05990322,2.5,2.5,2.5,2.5,2.5,1.9,1.9,1.9,1.9,1.9,0.15
BU05990323,2.5,2.5,2.5,2.5,2.5,1.9,1.9,1.9,1.9,1.9,0.15
BU05990324,2.8,2.8,2.8,2.8,2.8,2.6,2.6,2.6,2.6,2.6,0.15
BU05990325,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,0.15
BU05990327,2.4,2.4,2.4,2.4,2.4,1.8,1.8,1.8,1.8,1.8,0.15
BU05990328,8.9,8.9,8.9,8.9,8.9,4.4,4.4,4.4,4.4,4.4,0.15
BU05990329,1.5,1.5,1.5,1.5,1.5,0.6,0.6,0.6,0.6,0.6,0.15
BU05990451,4.2,4.2,4.2,4.2,4.2,3,3,3,3,3,0.15
BU05990452,19.8,19.8,19.8,19.8,19.8,15.9,15.9,15.9,15.9,15.9,0.15
BU05990454,27.6,27.6,27.6,27.6,27.6,26.1,26.1,26.1,26.1,26.1,0.15
BU05990455,12.9,12.9,12.9,12.9,12.9,9.9,9.9,9.9,9.9,9.9,0.15
BU05990456,5.5,5.5,5.5,5.5,5.5,5.9,5.9,5.9,5.9,5.9,0.15
BU05990457,4.5,4.5,4.5,4.5,4.5,8,8,8,8,8,0.15
BU05990515,3.3,3.3,3.3,3.3,3.3,1.6,1.6,1.6,1.6,1.6,0.15
BU05990516,2.3,2.3,2.3,2.3,2.3,1.9,1.9,1.9,1.9,1.9,0.15
BU05990531,2.1,2.1,2.1,2.1,2.1,2,2,2,2,2,0.15
BU05990532,3.4,3.4,3.4,3.4,3.4,2.3,2.3,2.3,2.3,2.3,0.15
BU05990534,2.5,2.5,2.5,2.5,2.5,2.8,2.8,2.8,2.8,2.8,0.15
BU05990535,2.6,2.6,2.6,2.6,2.6,2.3,2.3,2.3,2.3,2.3,0.15
BU05990558,31,31,31,31,31,6.3,6.3,6.3,6.3,6.3,0.15
BU05990660,4.5,4.5,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.4,0.15
BU05990661,4.5,4.5,4.5,4.5,4.5,5.1,5.1,5.1,5.1,5.1,0.15
BU05990662,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,0.15
BU05990664,9.5,9.5,9.5,9.5,9.5,9.9,9.9,9.9,9.9,9.9,0.15
BU05990665,8.3,8.3,8.3,8.3,8.3,8.7,8.7,8.7,8.7,8.7,0.15
BU05990814,2,2,2,2,2,0.9,0.9,0.9,0.9,0.9,0.15
BU05990836,3,3,3,3,3,2.2,2.2,2.2,2.2,2.2,0.15
BU05990837,2.5,2.5,2.5,2.5,2.5,1.3,1.3,1.3,1.3,1.3,0.15
BU05990841,2.7,2.7,2.7,2.7,2.7,2.1,2.1,2.1,2.1,2.1,0.15
BU05990842,5.7,5.7,5.7,5.7,5.7,4.7,4.7,4.7,4.7,4.7,0.15
BU05990843,26.9,26.9,26.9,26.9,26.9,15.9,15.9,15.9,15.9,15.9,0.15
BU05990845,2,2,2,2,2,0.7,0.7,0.7,0.7,0.7,0.15
BU05990847,2,2,2,2,2,0.9,0.9,0.9,0.9,0.9,0.15
BU05991017,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.15
BU05991079,1.8,1.8,1.8,1.8,1.8,1.1,1.1,1.1,1.1,1.1,0.15
BU05991080,5.1,5.1,5.1,5.1,5.1,6,6,6,6,6,0.15
BU05991081,3.3,3.3,3.3,3.3,3.3,3.5,3.5,3.5,3.5,3.5,0.15
BU05991082,3.2,3.2,3.2,3.2,3.2,2.5,2.5,2.5,2.5,2.5,0.15
BU05991085,3.2,3.2,3.2,3.2,3.2,2.2,2.2,2.2,2.2,2.2,0.15
BU05991086,2.4,2.4,2.4,2.4,2.4,1.7,1.7,1.7,1.7,1.7,0.15
BU05991087,2.7,2.7,2.7,2.7,2.7,1.7,1.7,1.7,1.7,1.7,0.15
BU05991088,2.5,2.5,2.5,2.5,2.5,1.9,1.9,1.9,1.9,1.9,0.15
BU05991283,5.5,5.5,5.5,5.5,5.5,4.2,4.2,4.2,4.2,4.2,0.15
BU05991284,4.6,4.6,4.6,4.6,4.6,3.3,3.3,3.3,3.3,3.3,0.15
BU05991289,4,4,4,4,4,3.8,3.8,3.8,3.8,3.8,0.15
BU05991290,5.5,5.5,5.5,5.5,5.5,4.1,4.1,4.1,4.1,4.1,0.15
BU05991391,6.7,6.7,6.7,6.7,6.7,8.5,8.5,8.5,8.5,8.5,0.15
BU05991444,7.4,7.4,7.4,7.4,7.4,7.7,7.7,7.7,7.7,7.7,0.15
BU05991446,6.2,6.2,6.2,6.2,6.2,7.7,7.7,7.7,7.7,7.7,0.15
BU05991448,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.8,0.15
BU05991449,4,4,4,4,4,2.9,2.9,2.9,2.9,2.9,0.15
BU05991463,3.2,3.2,3.2,3.2,3.2,3.7,3.7,3.7,3.7,3.7,0.15
BU05991466,5,5,5,5,5,4.9,4.9,4.9,4.9,4.9,0.15
BU05991467,3.1,3.1,3.1,3.1,3.1,3,3,3,3,3,0.15
BU05991468,7.7,7.7,7.7,7.7,7.7,8.4,8.4,8.4,8.4,8.4,0.15
BU05991570,27.9,27.9,27.9,27.9,27.9,11.6,11.6,11.6,11.6,11.6,0.15
BU05991571,2.6,2.6,2.6,2.6,2.6,2.4,2.4,2.4,2.4,2.4,0.15
BU05991572,2.3,2.3,2.3,2.3,2.3,1.9,1.9,1.9,1.9,1.9,0.15
BU05991573,3.7,3.7,3.7,3.7,3.7,2.8,2.8,2.8,2.8,2.8,0.15
BU05991574,3,3,3,3,3,2.7,2.7,2.7,2.7,2.7,0.15
BU05991575,9.7,9.7,9.7,9.7,9.7,7.3,7.3,7.3,7.3,7.3,0.15
BU05991576,2,2,2,2,2,0.1,0.1,0.1,0.1,0.1,0.15
BU05991577,4.4,4.4,4.4,4.4,4.4,2.6,2.6,2.6,2.6,2.6,0.15
BU05991578,7,7,7,7,7,2.1,2.1,2.1,2.1,2.1,0.15
BU05991593,7.1,7.1,7.1,7.1,7.1,7.3,7.3,7.3,7.3,7.3,0.15
BU05991692,6.3,6.3,6.3,6.3,6.3,7.1,7.1,7.1,7.1,7.1,0.15
BU05991699,5.7,5.7,5.7,5.7,5.7,6,6,6,6,6,0.15
BU05991701,10.3,10.3,10.3,10.3,10.3,7.9,7.9,7.9,7.9,7.9,0.15
BU05991702,7,7,7,7,7,7.8,7.8,7.8,7.8,7.8,0.15
BU05991703,23.9,23.9,23.9,23.9,23.9,15.3,15.3,15.3,15.3,15.3,0.15
BU05991853,15.1,15.1,15.1,15.1,15.1,14.1,14.1,14.1,14.1,14.1,0.15
BU05991926,26,26,26,26,26,15.1,15.1,15.1,15.1,15.1,0.15
BU05992194,17,17,17,17,17,11.1,11.1,11.1,11.1,11.1,0.15
BU05992196,18.9,18.9,18.9,18.9,18.9,15.5,15.5,15.5,15.5,15.5,0.15
BU05992198,25.3,25.3,25.3,25.3,25.3,12,12,12,12,12,0.15
BU05992295,30.6,30.6,30.6,30.6,30.6,8,8,8,8,8,0.15
BU05992306,36.5,36.5,36.5,36.5,36.5,9.3,9.3,9.3,9.3,9.3,0.15
BU05992307,28.1,28.1,28.1,28.1,28.1,16.2,16.2,16.2,16.2,16.2,0.15
BU05992308,22.1,22.1,22.1,22.1,22.1,17.8,17.8,17.8,17.8,17.8,0.15
BU05992459,17.7,17.7,17.7,17.7,17.7,14.4,14.4,14.4,14.4,14.4,0.15
BU05992540,23.4,23.4,23.4,23.4,23.4,13.6,13.6,13.6,13.6,13.6,0.15
BU05992704,7.3,7.3,7.3,7.3,7.3,7.5,7.5,7.5,7.5,7.5,0.15
BU05992705,17.6,17.6,17.6,17.6,17.6,12.2,12.2,12.2,12.2,12.2,0.15
BU06030111,3.2,3.2,3.2,3.2,3.2,5.2,5.2,5.2,5.2,5.2,0.15
BU06030112,5.1,5.1,5.1,5.1,5.1,7.3,7.3,7.3,7.3,7.3,0.15
BU06030221,4.8,4.8,4.8,4.8,4.8,4.3,4.3,4.3,4.3,4.3,0.15
BU06030222,4.5,4.5,4.5,4.5,4.5,5.1,5.1,5.1,5.1,5.1,0.15
BU06030223,4.1,4.1,4.1,4.1,4.1,2.2,2.2,2.2,2.2,2.2,0.15
BU06030224,3.7,3.7,3.7,3.7,3.7,2.4,2.4,2.4,2.4,2.4,0.15
BU06030225,4.8,4.8,4.8,4.8,4.8,1.9,1.9,1.9,1.9,1.9,0.15
BU06030771,2.9,2.9,2.9,2.9,2.9,1.9,1.9,1.9,1.9,1.9,0.15
BU06030772,14.3,14.3,14.3,14.3,14.3,17.7,17.7,17.7,17.7,17.7,0.15
BU06060000,4.7,4.7,4.7,4.7,4.7,2.4,2.4,2.4,2.4,2.4,0.15
BU06060101,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.15
BU06060102,5.1,5.1,5.1,5.1,5.1,2,2,2,2,2,0.15
BU06060103,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,0.15
BU06060104,1.7,1.7,1.7,1.7,1.7,1.1,1.1,1.1,1.1,1.1,0.15
BU06060105,4.9,4.9,4.9,4.9,4.9,2.8,2.8,2.8,2.8,2.8,0.15
BU06060106,2.9,2.9,2.9,2.9,2.9,2.7,2.7,2.7,2.7,2.7,0.15
BU06060107,2.7,2.7,2.7,2.7,2.7,2.3,2.3,2.3,2.3,2.3,0.15
BU06060201,5.5,5.5,5.5,5.5,5.5,1.8,1.8,1.8,1.8,1.8,0.15
BU06060202,4.7,4.7,4.7,4.7,4.7,1.3,1.3,1.3,1.3,1.3,0.15
BU06060203,4.1,4.1,4.1,4.1,4.1,4.4,4.4,4.4,4.4,4.4,0.15
BU06060301,3.9,3.9,3.9,3.9,3.9,4.5,4.5,4.5,4.5,4.5,0.15
BU06060302,5.1,5.1,5.1,5.1,5.1,4.9,4.9,4.9,4.9,4.9,0.15
BU06060303,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.15
BU06060304,2.5,2.5,2.5,2.5,2.5,2.8,2.8,2.8,2.8,2.8,0.15
BU06060305,5.8,5.8,5.8,5.8,5.8,5.2,5.2,5.2,5.2,5.2,0.15
BU06060306,4.6,4.6,4.6,4.6,4.6,4,4,4,4,4,0.15
BU06060307,10.9,10.9,10.9,10.9,10.9,7.6,7.6,7.6,7.6,7.6,0.15
BU06060308,7.3,7.3,7.3,7.3,7.3,5,5,5,5,5,0.15
BU06060309,2.8,2.8,2.8,2.8,2.8,2.1,2.1,2.1,2.1,2.1,0.15
BU06060401,4,4,4,4,4,4.2,4.2,4.2,4.2,4.2,0.15
BU06060402,4,4,4,4,4,3.8,3.8,3.8,3.8,3.8,0.15
BU06060403,3.7,3.7,3.7,3.7,3.7,4.4,4.4,4.4,4.4,4.4,0.15
BU06060404,2.6,2.6,2.6,2.6,2.6,0.9,0.9,0.9,0.9,0.9,0.15
BU06060405,23.1,23.1,23.1,23.1,23.1,13.4,13.4,13.4,13.4,13.4,0.15
BU06060500,22.5,22.5,22.5,22.5,22.5,11.8,11.8,11.8,11.8,11.8,0.15
BU06060602,3.3,3.3,3.3,3.3,3.3,2.5,2.5,2.5,2.5,2.5,0.15
BU06060603,3.2,3.2,3.2,3.2,3.2,1.8,1.8,1.8,1.8,1.8,0.15
BU06060604,5.5,5.5,5.5,5.5,5.5,3.3,3.3,3.3,3.3,3.3,0.15
BU06060605,1.8,1.8,1.8,1.8,1.8,1.6,1.6,1.6,1.6,1.6,0.15
BU06060606,3.4,3.4,3.4,3.4,3.4,2.8,2.8,2.8,2.8,2.8,0.15
BU06060607,2.7,2.7,2.7,2.7,2.7,1.5,1.5,1.5,1.5,1.5,0.15
BU06060608,3.6,3.6,3.6,3.6,3.6,1.5,1.5,1.5,1.5,1.5,0.15
BU06060701,10.3,10.3,10.3,10.3,10.3,9.3,9.3,9.3,9.3,9.3,0.15
BU06060702,4.7,4.7,4.7,4.7,4.7,2.4,2.4,2.4,2.4,2.4,0.15
BU06060703,1.7,1.7,1.7,1.7,1.7,0.8,0.8,0.8,0.8,0.8,0.15
BU06060704,1.1,1.1,1.1,1.1,1.1,1,1,1,1,1,0.15
BU06060705,6.3,6.3,6.3,6.3,6.3,3.6,3.6,3.6,3.6,3.6,0.15
BU06060706,7.3,7.3,7.3,7.3,7.3,9.9,9.9,9.9,9.9,9.9,0.15
BU06060707,8.5,8.5,8.5,8.5,8.5,7.9,7.9,7.9,7.9,7.9,0.15
BU06060801,19.5,19.5,19.5,19.5,19.5,10.3,10.3,10.3,10.3,10.3,0.15
BU06060802,21.5,21.5,21.5,21.5,21.5,15.1,15.1,15.1,15.1,15.1,0.15
BU06060803,15,15,15,15,15,14.8,14.8,14.8,14.8,14.8,0.15
BU06060901,4,4,4,4,4,3.9,3.9,3.9,3.9,3.9,0.15
BU06060902,5.7,5.7,5.7,5.7,5.7,5.8,5.8,5.8,5.8,5.8,0.15
BU06060903,4.7,4.7,4.7,4.7,4.7,5.2,5.2,5.2,5.2,5.2,0.15
BU06060904,5.1,5.1,5.1,5.1,5.1,4.2,4.2,4.2,4.2,4.2,0.15
BU06060905,6.1,6.1,6.1,6.1,6.1,6.3,6.3,6.3,6.3,6.3,0.15
BU06060906,5.4,5.4,5.4,5.4,5.4,6.9,6.9,6.9,6.9,6.9,0.15
BU06060907,5.5,5.5,5.5,5.5,5.5,6.1,6.1,6.1,6.1,6.1,0.15
BU06060908,5.5,5.5,5.5,5.5,5.5,4.6,4.6,4.6,4.6,4.6,0.15
BU06060909,19,19,19,19,19,19.3,19.3,19.3,19.3,19.3,0.15
BU06100101,7.4,7.4,7.4,7.4,7.4,8.3,8.3,8.3,8.3,8.3,0.15
BU06100102,16,16,16,16,16,28.2,28.2,28.2,28.2,28.2,0.15
BU06100103,6.3,6.3,6.3,6.3,6.3,6,6,6,6,6,0.15
BU06100104,21.4,21.4,21.4,21.4,21.4,11.9,11.9,11.9,11.9,11.9,0.15
BU06100105,8.5,8.5,8.5,8.5,8.5,9.4,9.4,9.4,9.4,9.4,0.15
BU06100106,12.5,12.5,12.5,12.5,12.5,10.7,10.7,10.7,10.7,10.7,0.15
BU06100107,4.8,4.8,4.8,4.8,4.8,5.9,5.9,5.9,5.9,5.9,0.15
BU06100108,7.7,7.7,7.7,7.7,7.7,9.3,9.3,9.3,9.3,9.3,0.15
BU06100109,22.9,22.9,22.9,22.9,22.9,30.1,30.1,30.1,30.1,30.1,0.15
BU06100201,5.9,5.9,5.9,5.9,5.9,6.1,6.1,6.1,6.1,6.1,0.15
BU06100202,3.9,3.9,3.9,3.9,3.9,2.4,2.4,2.4,2.4,2.4,0.15
BU06100203,5.6,5.6,5.6,5.6,5.6,4.6,4.6,4.6,4.6,4.6,0.15
BU06100204,5.7,5.7,5.7,5.7,5.7,4.7,4.7,4.7,4.7,4.7,0.15
